,city,state,population,total_food,latitude,longitude,total_scraped
609,Petaluma,California,60530,503,38.243022604508184,-122.62626624550589,497
610,Vineland,New Jersey,60525,424,39.496073949999996,-75.0201416015625,421
611,Taylorsville,Utah,60436,1493,40.65930066166875,-111.9326327010254,1000
612,Idaho Falls,Idaho,60211,304,43.492736584656875,-112.03994750976562,303
613,Noblesville,Indiana,60183,1248,40.03703237363926,-86.01226056396484,1000
614,Bristol,Connecticut,60147,393,41.67629432873628,-72.912910079015,393
615,West Allis,Wisconsin,60087,1200,43.010185,-88.02333357500001,1000
616,Gardena,California,60048,5156,33.89076969998737,-118.30902099609375,1000
617,La Mesa,California,59948,2482,32.786932625134675,-117.01500267804346,1000
618,St. Clair Shores,Michigan,59775,2623,42.490556722539196,-82.92924331152344,1000
619,Pontiac,Michigan,59698,2546,42.6450251674861,-83.24377822875977,1000
620,Meriden,Connecticut,59622,461,41.5310197,-72.81360720751408,456
621,Dublin,California,59583,1058,37.708530099482225,-121.91390991210938,1000
622,Coconut Creek,Florida,59405,1995,26.28731920676586,-80.185423925,1000
623,Casper,Wyoming,59324,202,42.830475466098584,-106.32431030273438,202
624,Owensboro,Kentucky,59273,197,37.746784127445956,-87.11180203554687,197
625,Ocala,Florida,59253,557,29.17910336925692,-82.14372788300335,557
626,Chapel Hill,North Carolina,59246,1523,35.9327794725,-79.02092386289216,1000
627,Pflugerville,Texas,59245,1295,30.45199998498475,-97.6411690081725,1000
628,Lancaster,Pennsylvania,59218,670,40.04621297044032,-76.3009545851991,667
629,Novi,Michigan,59211,663,42.48597288095743,-83.46298085,661
630,Great Falls,Montana,59178,190,47.501848968566065,-111.29150390625,190
631,Springfield,Ohio,59087,303,39.93444089120712,-83.81332397460938,303
632,Woodland,California,59068,246,38.676922153454626,-121.77108764648438,245
633,Royal Oak,Michigan,59006,1654,42.50694790334358,-83.15751829999999,999
634,Porterville,California,58978,213,36.0828010210889,-119.02175903320312,213
635,San Rafael,California,58954,1804,37.98257273097594,-122.5085264066765,1000
636,Huntington Park,California,58879,1912,33.98305256737645,-118.21174287833426,1000
637,Orland Park,Illinois,58862,658,41.6813857,-87.8434316368164,653
638,Ankeny,Iowa,58627,252,41.716993891897154,-93.5976791381836,252
639,Bartlett,Tennessee,58622,2043,35.20911701102956,-89.8297119140625,1000
640,Sanford,Florida,58605,1894,28.761731,-81.24252319335938,999
641,Dubuque,Iowa,58531,239,42.50141939725263,-90.6976318359375,239
642,Arcadia,California,58523,3745,34.13595179956987,-118.0426025390625,1000
643,Bowie,Maryland,58393,2248,38.99114953890869,-76.74705505371094,1000
644,White Plains,New York,58241,4121,41.02648956188497,-73.75190734863281,1000
645,Des Plaines,Illinois,58141,6876,42.035478304026704,-87.88975750955251,1000
646,Doral,Florida,57947,2619,25.818117617456455,-80.34189604447748,1000
647,Margate,Florida,57870,2063,26.24006824450455,-80.19735874999999,1000
648,Santee,California,57834,1165,32.858986646458526,-116.99066162109375,1000
649,Kokomo,Indiana,57799,183,40.46675501429242,-86.12251281738281,182
650,Castle Rock,Colorado,57666,620,39.43878205,-104.86587524414062,619
651,Grand Forks,North Dakota,57339,181,47.90689556576321,-97.06249237060547,181
652,Midwest City,Oklahoma,57305,347,35.459246496381894,-97.3879623413086,345
653,St. Peters,Missouri,57289,1363,38.75375247580582,-90.6000790566442,1000
654,Medford,Massachusetts,57213,5329,42.413560298832834,-71.100497676986,1000
655,Corvallis,Oregon,57110,293,44.57115029280121,-123.26797485351562,293
656,Hendersonville,Tennessee,57050,409,36.31594401831339,-86.6265601306153,409
657,New Brunswick,New Jersey,56910,1313,40.48857296665525,-74.44091783286133,1000
658,Taunton,Massachusetts,56843,801,41.923662108722965,-71.10249289239644,792
659,Tinley Park,Illinois,56831,809,41.5732263,-87.78633898955079,802
660,Diamond Bar,California,56793,2016,34.00057820100071,-117.83039169311523,1000
661,Smyrna,Georgia,56664,1332,33.88449073173314,-84.50065612792969,1000
662,Sarasota,Florida,56610,1814,27.3535975,-82.53135681152344,1000
663,Greenwood,Indiana,56545,1515,39.62998490107333,-86.13075256347656,1000
664,Fountain Valley,California,56529,5146,33.70947920541195,-117.94330347521775,1000
665,Valdosta,Georgia,56474,298,30.864691756282244,-83.27362060546875,298
666,Oak Lawn,Illinois,56257,1506,41.717374231431975,-87.74800273268164,1000
667,Novato,California,56004,1344,38.092372469871066,-122.54146975107422,1000
668,Chicopee,Massachusetts,55991,607,42.15744040781129,-72.56629344999999,606
669,Weymouth Town,Massachusetts,55972,4031,42.228608720647756,-70.97573982978516,1000
670,Dearborn Heights,Michigan,55761,3480,42.32985621777827,-83.27741529785156,1000
671,Berwyn,Illinois,55748,2349,41.845175235976505,-87.78721540000001,1000
672,Bradenton,Florida,55687,1452,27.487525009002095,-82.57053078466797,1000
673,Hempstead,New York,55555,758,40.71059622562275,-73.623369433667,737
674,Hanford,California,55547,283,36.33827500567999,-119.6580987046875,283
675,Rocky Mount,North Carolina,55466,160,35.98595001898386,-77.822167878125,160
676,Port Arthur,Texas,55427,476,29.965795985969578,-93.95370483398438,475
677,Shoreline,Washington,55333,1190,47.75593299368758,-122.31512404174805,1000
678,Kettering,Ohio,55306,945,39.71825855,-84.13036038318134,939
679,Anderson,Indiana,55130,236,40.074347929460465,-85.6658935546875,235
680,Decatur,Alabama,55072,256,34.57721309703633,-86.967841475,256
681,Gilroy,California,55069,930,37.06958645,-121.58088684082031,924
682,Richland,Washington,54989,695,46.26893220510597,-119.249701303125,692
683,Manhattan,Kansas,54983,199,39.198665575901316,-96.58802032470703,199
684,Highland,California,54939,1088,34.1304132287745,-117.17806174804687,1000
685,Paramount,California,54909,1716,33.89920805,-118.15059295175149,1000
686,Commerce City,Colorado,54869,4985,39.82938588772022,-104.842542339418,1000
687,Huntersville,North Carolina,54839,410,35.44147760439765,-80.85035031790153,408
688,Euless,Texas,54769,1187,32.84569108216213,-97.10319992779225,1000
689,Pocatello,Idaho,54746,199,42.88145281965254,-112.44712829589844,199
690,Carson City,Nevada,54742,1252,39.16196616170965,-119.82101440429688,1000
691,Colton,California,54712,1502,34.040947112802996,-117.32128143310547,1000
692,Casa Grande,Arizona,54534,131,32.901172349999996,-111.7251205444336,131
693,West Haven,Connecticut,54516,1180,41.27520531237498,-72.96275340527345,1000
694,Rosemead,California,54500,4918,34.074366500000004,-118.08195645996094,1000
695,Blue Springs,Missouri,54431,257,39.01810540354405,-94.27608489990234,257
696,Hoboken,New Jersey,54379,1202,40.74413778441126,-74.0091275943802,1000
697,Normal,Illinois,54264,381,40.50715486267461,-88.97724151611328,381
698,Bonita Springs,Florida,54198,451,26.35217195,-81.80350860043944,448
699,Mount Prospect,Illinois,54171,1277,42.06113422925294,-87.91333601294927,1000
700,Cathedral City,California,54056,858,33.7917970567826,-116.4764770435165,849
701,Watsonville,California,53796,314,36.93558084449364,-121.76905020942382,314
702,Pensacola,Florida,53779,1306,30.447328009676504,-87.25396879589843,1000
703,Palm Beach Gardens,Florida,53778,3145,26.841077575262553,-80.16311645507812,1000
704,Lake Havasu City,Arizona,53743,181,34.508211983519175,-114.32599536157227,182
705,Elyria,Ohio,53715,834,41.38500603011907,-82.0678537,829
706,Bellevue,Nebraska,53505,335,41.168339712933665,-95.93395792574574,335
707,Wheaton,Illinois,53389,1038,41.85831482844101,-88.04491185,999
708,West New York,New Jersey,53343,724,40.7894319,-74.01283264160156,701
709,Yucaipa,California,53309,1117,34.046927267127806,-117.0552701780299,1000
710,Southaven,Mississippi,53214,306,34.98212974191348,-89.9653770421875,306
711,Albany,Oregon,53211,174,44.62785128382619,-123.0904769897461,173
712,Revere,Massachusetts,53157,622,42.40571013322024,-71.00904635968351,613
713,Caldwell,Idaho,53149,228,43.6528512546117,-116.6436914,228
714,Harrisonburg,Virginia,53078,288,38.43636833348748,-78.87222290039062,288
715,West Sacramento,California,52981,1869,38.57473146248047,-121.52076647084962,1000
716,Lenexa,Kansas,52903,2761,38.982585611907,-94.730039475,1000
717,Kingsport,Tennessee,52806,259,36.53509775409705,-82.53040560507813,259
718,Burlington,North Carolina,52709,407,36.085104900000005,-79.4696044921875,405
719,Delano,California,52707,87,35.770809294221394,-119.24835493554687,87
720,Leesburg,Virginia,52607,1397,39.13091830368202,-77.540564975,1000
721,DeSoto,Texas,52599,586,32.604649699999996,-96.86467959470349,581
722,Milford,Connecticut,52536,743,41.226171833864825,-73.05329512426758,733
723,Perth Amboy,New Jersey,52499,324,40.5143751657162,-74.2730319262525,324
724,Peabody,Massachusetts,52491,1173,42.52878476432154,-70.95223784072266,1000
725,Brookhaven,Georgia,52444,870,33.874789165375226,-84.33942613109718,852
726,Minnetonka,Minnesota,52369,2849,44.93385952934197,-93.43171143127444,1000
727,Palm Desert,California,52231,1469,33.74617144523776,-116.356201171875,1000
728,Placentia,California,52228,2828,33.881236468041095,-117.85662798823324,1000
729,Elkhart,Indiana,52221,443,41.68825075137791,-85.95634460449219,443
730,Joplin,Missouri,52195,352,37.07852739285354,-94.475212425,352
731,Pinellas Park,Florida,52137,1646,27.85396042090785,-82.7150856293398,1000
732,La Crosse,Wisconsin,52109,285,43.8284477153005,-91.2374339320181,285
733,Grapevine,Texas,51971,1265,32.933837825000005,-97.07640205575255,1000
734,Apple Valley,Minnesota,51957,92,44.79816507834407,-93.2061837637207,92
735,Tigard,Oregon,51902,1286,45.4371333534174,-122.757414775,1000
